,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S
201,No,3,24.0,8,2,69.55,1,0,1
202,No,3,34.0,0,0,6.4958,1,0,1
203,No,3,45.5,0,0,7.225,1,0,0
204,Yes,3,18.0,0,0,8.05,1,0,1
205,No,3,2.0,0,1,10.4625,0,0,1
206,No,3,32.0,1,0,15.85,1,0,1
207,Yes,3,26.0,0,0,18.7875,1,0,0
208,Yes,3,16.0,0,0,7.75,0,1,0
209,Yes,1,40.0,0,0,31.0,1,0,0
210,No,3,24.0,0,0,7.05,1,0,1
211,Yes,2,35.0,0,0,21.0,0,0,1
212,No,3,22.0,0,0,7.25,1,0,1
213,No,2,30.0,0,0,13.0,1,0,1
214,No,3,24.0,1,0,7.75,1,1,0
215,Yes,1,31.0,1,0,113.275,0,0,0
216,Yes,3,27.0,0,0,7.925,0,0,1
217,No,2,42.0,1,0,27.0,1,0,1
218,Yes,1,32.0,0,0,76.2917,0,0,0
219,No,2,30.0,0,0,10.5,1,0,1
220,Yes,3,16.0,0,0,8.05,1,0,1
221,No,2,27.0,0,0,13.0,1,0,1
222,No,3,51.0,0,0,8.05,1,0,1
223,No,3,24.0,0,0,7.8958,1,0,1
224,Yes,1,38.0,1,0,90.0,1,0,1
225,No,3,22.0,0,0,9.35,1,0,1
226,Yes,2,19.0,0,0,10.5,1,0,1
227,No,3,20.5,0,0,7.25,1,0,1
228,No,2,18.0,0,0,13.0,1,0,1
229,No,3,24.0,3,1,25.4667,0,0,1
230,Yes,1,35.0,1,0,83.475,0,0,1
231,No,3,29.0,0,0,7.775,1,0,1
232,No,2,59.0,0,0,13.5,1,0,1
233,Yes,3,5.0,4,2,31.3875,0,0,1
234,No,2,24.0,0,0,10.5,1,0,1
235,No,3,24.0,0,0,7.55,0,0,1
236,No,2,44.0,1,0,26.0,1,0,1
237,Yes,2,8.0,0,2,26.25,0,0,1
238,No,2,19.0,0,0,10.5,1,0,1
239,No,2,33.0,0,0,12.275,1,0,1
240,No,3,24.0,1,0,14.4542,0,0,0
241,Yes,3,24.0,1,0,15.5,0,1,0
242,No,2,29.0,0,0,10.5,1,0,1
243,No,3,22.0,0,0,7.125,1,0,1
244,No,3,30.0,0,0,7.225,1,0,0
245,No,1,44.0,2,0,90.0,1,1,0
246,No,3,25.0,0,0,7.775,0,0,1
247,Yes,2,24.0,0,2,14.5,0,0,1
248,Yes,1,37.0,1,1,52.5542,1,0,1
249,No,2,54.0,1,0,26.0,1,0,1
250,No,3,24.0,0,0,7.25,1,0,1
251,No,3,29.0,1,1,10.4625,0,0,1
252,No,1,62.0,0,0,26.55,1,0,1
253,No,3,30.0,1,0,16.1,1,0,1
254,No,3,41.0,0,2,20.2125,0,0,1
255,Yes,3,29.0,0,2,15.2458,0,0,0
256,Yes,1,37.0,0,0,79.2,0,0,0
257,Yes,1,30.0,0,0,86.5,0,0,1
258,Yes,1,35.0,0,0,512.3292,0,0,0
259,Yes,2,50.0,0,1,26.0,0,0,1
260,No,3,24.0,0,0,7.75,1,1,0
261,Yes,3,3.0,4,2,31.3875,1,0,1
262,No,1,52.0,1,1,79.65,1,0,1
263,No,1,40.0,0,0,0.0,1,0,1
264,No,3,24.0,0,0,7.75,0,1,0
265,No,2,36.0,0,0,10.5,1,0,1
266,No,3,16.0,4,1,39.6875,1,0,1
267,Yes,3,25.0,1,0,7.775,1,0,1
268,Yes,1,58.0,0,1,153.4625,0,0,1
269,Yes,1,35.0,0,0,135.6333,0,0,1
270,No,1,37.0,0,0,31.0,1,0,1
271,Yes,3,25.0,0,0,0.0,1,0,1
272,Yes,2,41.0,0,1,19.5,0,0,1
273,No,1,37.0,0,1,29.7,1,0,0
274,Yes,3,24.0,0,0,7.75,0,1,0
275,Yes,1,63.0,1,0,77.9583,0,0,1
276,No,3,45.0,0,0,7.75,0,0,1
277,No,2,29.0,0,0,0.0,1,0,1
278,No,3,7.0,4,1,29.125,1,1,0
279,Yes,3,35.0,1,1,20.25,0,0,1
280,No,3,65.0,0,0,7.75,1,1,0
281,No,3,28.0,0,0,7.8542,1,0,1
282,No,3,16.0,0,0,9.5,1,0,1
283,Yes,3,19.0,0,0,8.05,1,0,1
284,No,1,37.0,0,0,26.0,1,0,1
285,No,3,33.0,0,0,8.6625,1,0,0
286,Yes,3,30.0,0,0,9.5,1,0,1
287,No,3,22.0,0,0,7.8958,1,0,1
288,Yes,2,42.0,0,0,13.0,1,0,1
289,Yes,3,22.0,0,0,7.75,0,1,0
290,Yes,1,26.0,0,0,78.85,0,0,1
291,Yes,1,19.0,1,0,91.0792,0,0,0
292,No,2,36.0,0,0,12.875,1,0,0
293,No,3,24.0,0,0,8.85,0,0,1
294,No,3,24.0,0,0,7.8958,1,0,1
295,No,1,37.0,0,0,27.7208,1,0,0
296,No,3,23.5,0,0,7.2292,1,0,0
297,No,1,2.0,1,2,151.55,0,0,1
298,Yes,1,37.0,0,0,30.5,1,0,1
299,Yes,1,50.0,0,1,247.5208,0,0,0
300,Yes,3,24.0,0,0,7.75,0,1,0
301,Yes,3,24.0,2,0,23.25,1,1,0
302,No,3,19.0,0,0,0.0,1,0,1
303,Yes,2,29.0,0,0,12.35,0,1,0
304,No,3,24.0,0,0,8.05,1,0,1
305,Yes,1,0.92,1,2,151.55,1,0,1
306,Yes,1,37.0,0,0,110.8833,0,0,0
307,Yes,1,17.0,1,0,108.9,0,0,0
308,No,2,30.0,1,0,24.0,1,0,0
309,Yes,1,30.0,0,0,56.9292,0,0,0
310,Yes,1,24.0,0,0,83.1583,0,0,0
311,Yes,1,18.0,2,2,262.375,0,0,0
312,No,2,26.0,1,1,26.0,0,0,1
313,No,3,28.0,0,0,7.8958,1,0,1
314,No,2,43.0,1,1,26.25,1,0,1
315,Yes,3,26.0,0,0,7.8542,0,0,1
316,Yes,2,24.0,1,0,26.0,0,0,1
317,No,2,54.0,0,0,14.0,1,0,1
318,Yes,1,31.0,0,2,164.8667,0,0,1
319,Yes,1,40.0,1,1,134.5,0,0,0
320,No,3,22.0,0,0,7.25,1,0,1
321,No,3,27.0,0,0,7.8958,1,0,1
322,Yes,2,30.0,0,0,12.35,0,1,0
323,Yes,2,22.0,1,1,29.0,0,0,1
324,No,3,24.0,8,2,69.55,1,0,1
325,Yes,1,36.0,0,0,135.6333,0,0,0
326,No,3,61.0,0,0,6.2375,1,0,1
327,Yes,2,36.0,0,0,13.0,0,0,1
328,Yes,3,31.0,1,1,20.525,0,0,1
329,Yes,1,16.0,0,1,57.9792,0,0,0
330,Yes,3,24.0,2,0,23.25,0,1,0
331,No,1,45.5,0,0,28.5,1,0,1
332,No,1,38.0,0,1,153.4625,1,0,1
333,No,3,16.0,2,0,18.0,1,0,1
334,Yes,1,37.0,1,0,133.65,0,0,1
335,No,3,24.0,0,0,7.8958,1,0,1
336,No,1,29.0,1,0,66.6,1,0,1
337,Yes,1,41.0,0,0,134.5,0,0,0
338,Yes,3,45.0,0,0,8.05,1,0,1
339,No,1,45.0,0,0,35.5,1,0,1
340,Yes,2,2.0,1,1,26.0,1,0,1
341,Yes,1,24.0,3,2,263.0,0,0,1
342,No,2,28.0,0,0,13.0,1,0,1
343,No,2,25.0,0,0,13.0,1,0,1
344,No,2,36.0,0,0,13.0,1,0,1
345,Yes,2,24.0,0,0,13.0,0,0,1
346,Yes,2,40.0,0,0,13.0,0,0,1
347,Yes,3,24.0,1,0,16.1,0,0,1
348,Yes,3,3.0,1,1,15.9,1,0,1
349,No,3,42.0,0,0,8.6625,1,0,1
350,No,3,23.0,0,0,9.225,1,0,1
351,No,1,37.0,0,0,35.0,1,0,1
352,No,3,15.0,1,1,7.2292,1,0,0
353,No,3,25.0,1,0,17.8,1,0,1
354,No,3,24.0,0,0,7.225,1,0,0
355,No,3,28.0,0,0,9.5,1,0,1
356,Yes,1,22.0,0,1,55.0,0,0,1
357,No,2,38.0,0,0,13.0,0,0,1
358,Yes,3,24.0,0,0,7.8792,0,1,0
359,Yes,3,24.0,0,0,7.8792,0,1,0
360,No,3,40.0,1,4,27.9,1,0,1
361,No,2,29.0,1,0,27.7208,1,0,0
362,No,3,45.0,0,1,14.4542,0,0,0
363,No,3,35.0,0,0,7.05,1,0,1
364,No,3,24.0,1,0,15.5,1,1,0
365,No,3,30.0,0,0,7.25,1,0,1
366,Yes,1,60.0,1,0,75.25,0,0,0
367,Yes,3,24.0,0,0,7.2292,0,0,0
368,Yes,3,24.0,0,0,7.75,0,1,0
369,Yes,1,24.0,0,0,69.3,0,0,0
370,Yes,1,25.0,1,0,55.4417,1,0,0
371,No,3,18.0,1,0,6.4958,1,0,1
372,No,3,19.0,0,0,8.05,1,0,1
373,No,1,22.0,0,0,135.6333,1,0,0
374,No,3,3.0,3,1,21.075,0,0,1
375,Yes,1,37.0,1,0,82.1708,0,0,0
376,Yes,3,22.0,0,0,7.25,0,0,1
377,No,1,27.0,0,2,211.5,1,0,0
378,No,3,20.0,0,0,4.0125,1,0,0
379,No,3,19.0,0,0,7.775,1,0,1
380,Yes,1,42.0,0,0,227.525,0,0,0
381,Yes,3,1.0,0,2,15.7417,0,0,0
382,No,3,32.0,0,0,7.925,1,0,1
383,Yes,1,35.0,1,0,52.0,0,0,1
384,No,3,24.0,0,0,7.8958,1,0,1
385,No,2,18.0,0,0,73.5,1,0,1
386,No,3,1.0,5,2,46.9,1,0,1
387,Yes,2,36.0,0,0,13.0,0,0,1
388,No,3,24.0,0,0,7.7292,1,1,0
389,Yes,2,17.0,0,0,12.0,0,0,0
390,Yes,1,36.0,1,2,120.0,1,0,1
391,Yes,3,21.0,0,0,7.7958,1,0,1
392,No,3,28.0,2,0,7.925,1,0,1
393,Yes,1,23.0,1,0,113.275,0,0,0
394,Yes,3,24.0,0,2,16.7,0,0,1
395,No,3,22.0,0,0,7.7958,1,0,1
396,No,3,31.0,0,0,7.8542,0,0,1
397,No,2,46.0,0,0,26.0,1,0,1
398,No,2,23.0,0,0,10.5,1,0,1
399,Yes,2,28.0,0,0,12.65,0,0,1
400,Yes,3,39.0,0,0,7.925,1,0,1
401,No,3,26.0,0,0,8.05,1,0,1
402,No,3,21.0,1,0,9.825,0,0,1
403,No,3,28.0,1,0,15.85,1,0,1
404,No,3,20.0,0,0,8.6625,0,0,1
405,No,2,34.0,1,0,21.0,1,0,1
406,No,3,51.0,0,0,7.75,1,0,1
407,Yes,2,3.0,1,1,18.75,1,0,1
408,No,3,21.0,0,0,7.775,1,0,1
409,No,3,24.0,3,1,25.4667,0,0,1
410,No,3,24.0,0,0,7.8958,1,0,1
411,No,3,24.0,0,0,6.8583,1,1,0
412,Yes,1,33.0,1,0,90.0,0,1,0
413,No,2,29.0,0,0,0.0,1,0,1
414,Yes,3,44.0,0,0,7.925,1,0,1
415,No,3,24.0,0,0,8.05,0,0,1
416,Yes,2,34.0,1,1,32.5,0,0,1
417,Yes,2,18.0,0,2,13.0,0,0,1
418,No,2,30.0,0,0,13.0,1,0,1
419,No,3,10.0,0,2,24.15,0,0,1
420,No,3,24.0,0,0,7.8958,1,0,0
421,No,3,21.0,0,0,7.7333,1,1,0
422,No,3,29.0,0,0,7.875,1,0,1
423,No,3,28.0,1,1,14.4,0,0,1
424,No,3,18.0,1,1,20.2125,1,0,1
425,No,3,24.0,0,0,7.25,1,0,1
426,Yes,2,28.0,1,0,26.0,0,0,1
427,Yes,2,19.0,0,0,26.0,0,0,1
428,No,3,24.0,0,0,7.75,1,1,0
429,Yes,3,32.0,0,0,8.05,1,0,1
430,Yes,1,28.0,0,0,26.55,1,0,1
431,Yes,3,24.0,1,0,16.1,0,0,1
432,Yes,2,42.0,1,0,26.0,0,0,1
433,No,3,17.0,0,0,7.125,1,0,1
434,No,1,50.0,1,0,55.9,1,0,1
435,Yes,1,14.0,1,2,120.0,0,0,1
436,No,3,21.0,2,2,34.375,0,0,1
437,Yes,2,24.0,2,3,18.75,0,0,1
438,No,1,64.0,1,4,263.0,1,0,1
439,No,2,31.0,0,0,10.5,1,0,1
440,Yes,2,45.0,1,1,26.25,0,0,1
441,No,3,20.0,0,0,9.5,1,0,1
442,No,3,25.0,1,0,7.775,1,0,1
443,Yes,2,28.0,0,0,13.0,0,0,1
444,Yes,3,24.0,0,0,8.1125,1,0,1
445,Yes,1,4.0,0,2,81.8583,1,0,1
446,Yes,2,13.0,0,1,19.5,0,0,1
447,Yes,1,34.0,0,0,26.55,1,0,1
448,Yes,3,5.0,2,1,19.2583,0,0,0
449,Yes,1,52.0,0,0,30.5,1,0,1
450,No,2,36.0,1,2,27.75,1,0,1
451,No,3,24.0,1,0,19.9667,1,0,1
452,No,1,30.0,0,0,27.75,1,0,0
453,Yes,1,49.0,1,0,89.1042,1,0,0
454,No,3,24.0,0,0,8.05,1,0,1
455,Yes,3,29.0,0,0,7.8958,1,0,0
456,No,1,65.0,0,0,26.55,1,0,1
457,Yes,1,37.0,1,0,51.8625,0,0,1
458,Yes,2,50.0,0,0,10.5,0,0,1
459,No,3,24.0,0,0,7.75,1,1,0
460,Yes,1,48.0,0,0,26.55,1,0,1
461,No,3,34.0,0,0,8.05,1,0,1
462,No,1,47.0,0,0,38.5,1,0,1
463,No,2,48.0,0,0,13.0,1,0,1
464,No,3,24.0,0,0,8.05,1,0,1
465,No,3,38.0,0,0,7.05,1,0,1
466,No,2,29.0,0,0,0.0,1,0,1
467,No,1,56.0,0,0,26.55,1,0,1
468,No,3,24.0,0,0,7.725,1,1,0
469,Yes,3,0.75,2,1,19.2583,0,0,0
470,No,3,24.0,0,0,7.25,1,0,1
471,No,3,38.0,0,0,8.6625,1,0,1
472,Yes,2,33.0,1,2,27.75,0,0,1
473,Yes,2,23.0,0,0,13.7917,0,0,0
474,No,3,22.0,0,0,9.8375,0,0,1
475,No,1,37.0,0,0,52.0,1,0,1
476,No,2,34.0,1,0,21.0,1,0,1
477,No,3,29.0,1,0,7.0458,1,0,1
478,No,3,22.0,0,0,7.5208,1,0,1
479,Yes,3,2.0,0,1,12.2875,0,0,1
480,No,3,9.0,5,2,46.9,1,0,1
481,No,2,29.0,0,0,0.0,1,0,1
482,No,3,50.0,0,0,8.05,1,0,1
483,Yes,3,63.0,0,0,9.5875,0,0,1
484,Yes,1,25.0,1,0,91.0792,1,0,0
485,No,3,24.0,3,1,25.4667,0,0,1
486,Yes,1,35.0,1,0,90.0,0,0,1
487,No,1,58.0,0,0,29.7,1,0,0
488,No,3,30.0,0,0,8.05,1,0,1
489,Yes,3,9.0,1,1,15.9,1,0,1
490,No,3,24.0,1,0,19.9667,1,0,1
491,No,3,21.0,0,0,7.25,1,0,1
492,No,1,55.0,0,0,30.5,1,0,1
493,No,1,71.0,0,0,49.5042,1,0,0
494,No,3,21.0,0,0,8.05,1,0,1
495,No,3,24.0,0,0,14.4583,1,0,0
496,Yes,1,54.0,1,0,78.2667,0,0,0
497,No,3,24.0,0,0,15.1,1,0,1
498,No,1,25.0,1,2,151.55,0,0,1
499,No,3,24.0,0,0,7.7958,1,0,1
500,No,3,17.0,0,0,8.6625,1,0,1
501,No,3,21.0,0,0,7.75,0,1,0
502,No,3,24.0,0,0,7.6292,0,1,0
503,No,3,37.0,0,0,9.5875,0,0,1
504,Yes,1,16.0,0,0,86.5,0,0,1
505,No,1,18.0,1,0,108.9,1,0,0
506,Yes,2,33.0,0,2,26.0,0,0,1
507,Yes,1,37.0,0,0,26.55,1,0,1
508,No,3,28.0,0,0,22.525,1,0,1
509,Yes,3,26.0,0,0,56.4958,1,0,1
510,Yes,3,29.0,0,0,7.75,1,1,0
511,No,3,24.0,0,0,8.05,1,0,1
512,Yes,1,36.0,0,0,26.2875,1,0,1
513,Yes,1,54.0,1,0,59.4,0,0,0
514,No,3,24.0,0,0,7.4958,1,0,1
515,No,1,47.0,0,0,34.0208,1,0,1
516,Yes,2,34.0,0,0,10.5,0,0,1
517,No,3,24.0,0,0,24.15,1,1,0
518,Yes,2,36.0,1,0,26.0,0,0,1
519,No,3,32.0,0,0,7.8958,1,0,1
520,Yes,1,30.0,0,0,93.5,0,0,1
521,No,3,22.0,0,0,7.8958,1,0,1
522,No,3,24.0,0,0,7.225,1,0,0
523,Yes,1,44.0,0,1,57.9792,0,0,0
524,No,3,24.0,0,0,7.2292,1,0,0
525,No,3,40.5,0,0,7.75,1,1,0
526,Yes,2,50.0,0,0,10.5,0,0,1
527,No,1,37.0,0,0,221.7792,1,0,1
528,No,3,39.0,0,0,7.925,1,0,1
529,No,2,23.0,2,1,11.5,1,0,1
530,Yes,2,2.0,1,1,26.0,0,0,1
531,No,3,24.0,0,0,7.2292,1,0,0
532,No,3,17.0,1,1,7.2292,1,0,0
533,Yes,3,24.0,0,2,22.3583,0,0,0
534,No,3,30.0,0,0,8.6625,0,0,1
535,Yes,2,7.0,0,2,26.25,0,0,1
536,No,1,45.0,0,0,26.55,1,0,1
537,Yes,1,30.0,0,0,106.425,0,0,0
538,No,3,24.0,0,0,14.5,1,0,1
539,Yes,1,22.0,0,2,49.5,0,0,0
540,Yes,1,36.0,0,2,71.0,0,0,1
541,No,3,9.0,4,2,31.275,0,0,1
542,No,3,11.0,4,2,31.275,0,0,1
543,Yes,2,32.0,1,0,26.0,1,0,1
544,No,1,50.0,1,0,106.425,1,0,0
545,No,1,64.0,0,0,26.0,1,0,1
546,Yes,2,19.0,1,0,26.0,0,0,1
547,Yes,2,29.0,0,0,13.8625,1,0,0
548,No,3,33.0,1,1,20.525,1,0,1
549,Yes,2,8.0,1,1,36.75,1,0,1
550,Yes,1,17.0,0,2,110.8833,1,0,0
551,No,2,27.0,0,0,26.0,1,0,1
552,No,3,24.0,0,0,7.8292,1,1,0
553,Yes,3,22.0,0,0,7.225,1,0,0
554,Yes,3,22.0,0,0,7.775,0,0,1
555,No,1,62.0,0,0,26.55,1,0,1
